market,context_filter,context_value,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,0_40_0_49,8926,8926,4168,0.46695,1.947431,-0.026209,2,-235.69,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,0_50_0_59,21844,21844,10190,0.46649,1.944659,-0.024157,2,-529.41,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,GE_0_60,54,54,24,0.444444,1.931296,-0.005,2,-3.02,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,LT_0_40,6,6,3,0.5,2.635,1.008333,1,-1.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE|POSITIVE_ROI_RESEARCH_ONLY
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,PROB_MISSING,66,8,4,0.5,0.0,-0.5,2,-1.0,64,58,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE
ASIAN_HANDICAP,ah_move_direction,LONGER_CLOSE,14830,14830,6796,0.45826,2.003542,-0.012651,12,-228.91,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,ah_move_direction,MOVE_MISSING,160,102,45,0.441176,1.928125,-0.040573,2,-5.515,64,58,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE
ASIAN_HANDICAP,ah_move_direction,SHORTER_CLOSE,14407,14407,6834,0.474353,1.885718,-0.036327,9,-526.835,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,ah_move_direction,STABLE,1499,1499,714,0.476318,1.945851,-0.027995,6,-42.79,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_0,3526,3526,1238,0.351106,1.947663,-0.020309,2,-73.49,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
