market,league_code,season,close_odds_band,asian_handicap_line_bucket,over25_price_band,home_away_side,sample_size_bucket,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
1X2,B1,2022/23,GE_5_00,NOT_AH,NOT_FT_OVER25,HOME,LT_100,18,18,3,0.166667,6.0,-0.041667,9,-9.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,LT_1_50,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,7,7,4,0.571429,1.404286,-0.21,1,-1.87,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,LT_1_50,NOT_AH,NOT_FT_OVER25,HOME,LT_100,40,40,33,0.825,1.328,0.09,2,-2.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,1_50_1_74,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,27,27,15,0.555556,1.624444,-0.095926,2,-5.74,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,1_50_1_74,NOT_AH,NOT_FT_OVER25,HOME,LT_100,49,49,34,0.693878,1.604286,0.114286,2,-2.38,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,1_75_1_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,22,22,9,0.409091,1.87,-0.227727,6,-9.39,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,1_75_1_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,30,30,18,0.6,1.851333,0.102,3,-3.55,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,2_00_2_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,50,50,22,0.44,2.2502,-0.0216,7,-10.19,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,66,66,22,0.333333,2.207424,-0.250606,12,-18.64,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,76,76,19,0.25,2.974737,-0.287368,12,-29.32,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,73,73,28,0.383562,3.30589,0.274384,5,-5.2,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,66,66,23,0.348485,2.905758,-0.006212,6,-6.92,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,3_50_4_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,55,55,10,0.181818,4.085455,-0.332727,9,-18.8,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,3_50_4_99,NOT_AH,NOT_FT_OVER25,DRAW,100_299,203,203,49,0.241379,3.865567,-0.070345,17,-43.5,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE_RESEARCH_ONLY
1X2,B1,2023/24,3_50_4_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,36,36,9,0.25,4.128056,0.038333,6,-8.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,GE_5_00,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,72,72,8,0.111111,7.486111,-0.277778,35,-36.75,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,GE_5_00,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,36,36,4,0.111111,5.930556,-0.3125,16,-18.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,GE_5_00,NOT_AH,NOT_FT_OVER25,HOME,LT_100,25,25,4,0.16,6.34,0.02,11,-11.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,LT_1_50,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,10,10,9,0.9,1.357,0.228,1,-1.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2023/24,LT_1_50,NOT_AH,NOT_FT_OVER25,HOME,LT_100,40,40,29,0.725,1.30675,-0.065,2,-3.66,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,1_50_1_74,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,20,20,11,0.55,1.649,-0.0805,3,-4.71,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,1_50_1_74,NOT_AH,NOT_FT_OVER25,HOME,LT_100,46,46,31,0.673913,1.630652,0.100652,4,-4.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,1_75_1_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,18,18,8,0.444444,1.867778,-0.166667,4,-6.55,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,1_75_1_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,42,42,20,0.47619,1.863095,-0.115476,5,-7.55,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,2_00_2_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,51,51,26,0.509804,2.225882,0.137059,5,-7.25,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,57,57,25,0.438596,2.224211,-0.02193,5,-10.8,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,79,79,15,0.189873,2.895696,-0.456709,18,-38.16,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,98,98,36,0.367347,3.28449,0.20102,8,-8.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,77,77,20,0.25974,2.885844,-0.248831,10,-22.75,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,3_50_4_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,76,76,12,0.157895,4.133816,-0.366711,14,-32.85,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,3_50_4_99,NOT_AH,NOT_FT_OVER25,DRAW,100_299,192,192,50,0.260417,3.878385,-0.021719,17,-25.9,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE_RESEARCH_ONLY
1X2,B1,2024/25,3_50_4_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,30,30,6,0.2,4.044333,-0.173333,7,-10.15,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,GE_5_00,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,62,62,9,0.145161,7.096774,-0.125,12,-18.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
